|autor|ciudades|conteo_retweets|empresas|fecha_creacion|palabras_clave|texto
2|marlenybarlop||0|Codensa|Mon Sep 03 23:27:07 +0000 2018|Sin energía|@CodensaEnergia 2 horas sin energía en sector de Usaquen. @SuperSSPD @CaracolRadio @WRadioColombia @YolandaRuizRCN
3|elpechis10||0|Electricaribe|Mon Sep 03 23:28:55 +0000 2018|Sin luz|@ElectricaribeSA ahora que dice electrirata sin luz hace mas de 45minutos.ahora sale con la excusa de siempre la li… https://t.co/0x9iia6iQq
4|AnnaMaria2408||0|Codensa|Tue Sep 04 00:00:09 +0000 2018|Sin luz|@CodensaEnergia desde la calle 127 hasta la calle 147 sin luz, hace 5 horas y no han solucionado el problema !!! es… https://t.co/ojVVH7zf9I
0|Nata_solano||0|Codensa|Tue Sep 04 00:47:33 +0000 2018|Sin luz|@CodensaEnergia llevamos más de 5 horas sin luz en cedritos y ustedes siguen sin dar respuesta 🤷🏼‍♀️.
0|memjose||0|Codensa|Tue Sep 04 01:10:02 +0000 2018|Sin luz|@CodensaEnergia Me pueden informar que está pasando en Cedritos? Llevamos varias horas sin luz.
1|jmarino43||0|Emsa|Tue Sep 04 01:20:18 +0000 2018|Sin luz|Ahora si listos, sin carretera @Coviandes, sin cable @DIRECTV y sin luz @emsa_esp, que falta? Que se acaben los datos?
2|GloSB|Bogotá|0||Tue Sep 04 01:23:50 +0000 2018|Sin luz|Bogotá sin luz? Nunca me tocó en los 10 años que viví alla
3|villegassebas20||0|Emsa|Tue Sep 04 01:58:38 +0000 2018|Sin luz|Buenas noches @EDEMSAinforma en el barrio monseñor maresma de luzuriaga maipu, hay una cuadra sin luz y las otras t… https://t.co/WFmS8HzM90
4|NICOLASMELOPE||0|Codensa|Tue Sep 04 02:01:20 +0000 2018|Sin luz|@CodensaEnergia más de 6 horas sin luz desde la 127 hasta la 147 !!! Qué incompetencia la de ustedes!! Pero eso si… https://t.co/uxxcsRXgrS
0|vannyjohann||0|Electricaribe|Tue Sep 04 02:16:40 +0000 2018|Sin energía|Un amplio sector del norte y centro de @CienagaMagd sin energía eléctrica hace más de tres horas. ¿@ElectricaribeSA… https://t.co/1AA2nyMoho
1|tribunacienaga||2|Electricaribe|Tue Sep 04 02:29:34 +0000 2018|Sin energía|RT @vannyjohann: Un amplio sector del norte y centro de @CienagaMagd sin energía eléctrica hace más de tres horas. ¿@ElectricaribeSA  esto…
2|JesusBecerra783||0|Codensa|Tue Sep 04 02:29:51 +0000 2018|Sin luz|@CodensaEnergia ayer fueron 4 horas sin servicio de energía y hoy otra vez hace más de media hora sin luz. Que tris… https://t.co/fl26GMO3C6
3|Delta61342580||0|Emsa|Tue Sep 04 02:42:17 +0000 2018|Sin energía|@emsa_esp estamos sin energía en el barrio kirpas toda la cuadra de la carrera 20E # 21A -20 sur, detrás del colegi… https://t.co/vDy4BBV4jh
4|lui5fmar||0|Codensa|Tue Sep 04 02:53:12 +0000 2018|Sin luz|@CodensaEnergia alumbrado público a la salida de la estación toberin no sirve desde la semana pasada, el puente y la autopista sin luz.
5|Delta61342580||1|Emsa|Tue Sep 04 03:03:43 +0000 2018|Sin energía|RT @Delta61342580: @emsa_esp estamos sin energía en el barrio kirpas toda la cuadra de la carrera 20E # 21A -20 sur, detrás del colegio arn…
0|JoseJimenezRuiz||0|Electricaribe|Tue Sep 04 03:45:52 +0000 2018|Sin energía|@ElectricaribeSA más de 4 horas sin energía en chiriguana César
0|YaraStefa||0|Codensa|Tue Sep 04 04:23:25 +0000 2018|Sin energía|@CodensaEnergia por qué no vienen a dormir acá,sin energía con 40°...#CodensaPesimoServici #CodensaNoMasAbusk https://t.co/o8Gbf9HmTt
1|YaraStefa||0|Codensa|Tue Sep 04 04:30:36 +0000 2018|Sin energía|@CodensaEnergia por qué no vienen a vivir acá a 40° de temperatura sin energía para absolutamente nada. Y el cobro… https://t.co/MqprqkDG5f
0|LauraMarcory|Nariño|0||Tue Sep 04 05:17:59 +0000 2018|Sin luz|Atentado contra dos torres de energía deja sin luz a Tumaco, Nariño: Al parecer los… https://t.co/MjIlBu4f6D
1|samuqiwB|Nariño|0||Tue Sep 04 05:36:05 +0000 2018|Sin luz|Atentado contra dos torres de energía deja sin luz a Tumaco, Nariño: Al parecer los responsables del hecho serían g… https://t.co/uvhLc43hqw
